Rohrer & Klingner Alt-Goldgrun,((r( )?(&|and |\+)?( )?k )?|(rohrer (& |and |\+ )klingner ))?alt( )?(-)?gold ?gr(u|ü)n,http://i.imgur.com/fAraT0F.jpg
Private Reserve DC Supershow Violet,(PR |private reserve )?(dcssv|dc super( )?show violet),http://i.imgur.com/cxOxWQe.jpg
De Atramentis Aubergine,(De ?Atramentis |DA )?Aubergine,http://i.imgur.com/tD6VN35.jpg
Pilot Iroshizuku Ku-jaku,(pilot )?(iroshizuku )?ku( )?(-)?jaku,http://i.imgur.com/VvQvqkR.jpg
Organics Studio Marie Curie's Radium,(O(.)?S(.)? |Organic(')?(s)? Studio(')?(s)? )(Marie curie(')?(s)? )?Radium,http://i.imgur.com/V0b3hhq.jpg
Sailor BungBox Valentines chocolate,(sailor )?(bung( )?(-)?box )?(bb )?Valentine'?s chocolates?,http://i.imgur.com/vXrw9aJ.jpg
Noodler's Saguaro Wine,(Noodler(')?s )?saguaro wine,http://i.imgur.com/4YoQlS1.jpg
Omas Violet,omas Violet,http://i.imgur.com/QcqUQrU.jpg
Sheaffer Washable Blue,Sheaffer washable blue,"http://i.imgur.com/AVOMlJU.jpg
"
Caran d'Ache Caribbean Sea,(Caran d(')?( )?ache )?(cd(')?a )?caribbean sea,http://i.imgur.com/nR374aR.jpg
Noodler's Burma Road Brown,(Noodler(')?s )?burma road brown,http://i.imgur.com/W8UJsDD.jpg
J. Herbin Rouge Caroubier,(J?.? ?Herbin )?Rouge Caroubier,http://i.imgur.com/5qV6K7z.jpg
Sheaffer King's Gold,sheaffer king(')?s gold,http://i.imgur.com/L7cT8rL.jpg
Diamine Monaco Red,(Diamine )?monaco red,http://i.imgur.com/uqOIcnf.jpg
Chesterfield Antique Walnut,Chesterfield Antique Walnut,http://i.imgur.com/X7rQty0.jpg
Robert Oster Signature Deep sea,(Robert )?(Oster |RO )(Signature )?deep sea,http://i.imgur.com/lABFNQ0.jpg
Diamine Sepia,diamine sepia,http://i.imgur.com/9blJWAY.jpg
Noodler's Firefly,(Noodler(')?s )?firefly,http://i.imgur.com/6N6VZKQ.jpg
Diamine Shimmertastic Magical Forest,(Diamine )?(Shimmertastic )?magical forest,http://i.imgur.com/z96nrHw.jpg
Diamine Shimmertastic Blue Lightning,(Diamine )?(Shimmertastic )?blue lightning,http://i.imgur.com/Ur8P9BF.jpg
Monteverde Brown,monteverde brown,http://i.imgur.com/or2MZHd.jpg
Noodler's Black 2,Noodler(')?s Black 2,http://i.imgur.com/9EK2PhH.jpg
Pelikan Brilliant Black,(pelikan )?brilliant black,http://i.imgur.com/kVEMGwb.jpg
Diamine Ultra Green,Diamine Ultra Green,http://i.imgur.com/OjMF0sD.jpg
Pelikan Edelstein Aquamarine,(pelikan )?(edelstein )?aquamarine,http://i.imgur.com/NTzrHi6.jpg
Private Reserve Electric DC Blue,(PR |private reserve )?electric dc blue,http://i.imgur.com/bHbQCn9.jpg
Private Reserve Blue Suede (original),(PR |private reserve )?blue suede( original| old)( formula)?,http://i.imgur.com/DL9a3ug.jpg
Organics Studio John Hancock,(O(.)?S(.)? |Organic(')?(s)? Studio(')?(s)? )john hancock,http://i.imgur.com/CGUBF9l.jpg
Chesterfield Antique Yankee,Chesterfield Antique Yankee,http://i.imgur.com/De23RWM.jpg
